# proteinId	labelId
ENSCAFP00845043431	macro-synteny
ENSP00000377890	phylogeny
ENSP00000377890	macro-synteny
ENSMUSP00000110564	phylogeny
ENSMUSP00000110564	macro-synteny
ENSMODP00000059700	phylogeny
ENSMODP00000059700	macro-synteny
ENSACAP00000030749	phylogeny
ENSACAP00000030749	macro-synteny
ENSORLP00000043039	phylogeny
ENSORLP00000043039	macro-synteny
ENSGACP00000023130	phylogeny
ENSGACP00000023130	macro-synteny
ENSGACP00000023136	phylogeny
ENSGACP00000023136	macro-synteny
ENSTNIP00000018819	phylogeny
ENSTNIP00000018819	macro-synteny
ENSLOCP00000018908	phylogeny
ENSLOCP00000018908	macro-synteny
ENSDARP00000079099	phylogeny
ENSDARP00000079099	macro-synteny
ENSDARP00000153912	phylogeny
ENSDARP00000153912	macro-synteny
ENSDARP00000155092	phylogeny
ENSDARP00000155092	macro-synteny
ENSCMIP00000008818	phylogeny
ENSCMIP00000008818	macro-synteny
ENSGALP00010004726	phylogeny
ENSGALP00010004726	macro-synteny
ENSMGAP00000015884	phylogeny
ENSMGAP00000015884	macro-synteny
ENSMGAP00000028091	phylogeny
ENSMGAP00000028091	macro-synteny
ENSTGUP00000012724	phylogeny
ENSTGUP00000012724	macro-synteny
ENSACAP00000002115	phylogeny
ENSACAP00000002115	macro-synteny
ENSMODP00000018618	phylogeny
ENSMODP00000018618	macro-synteny
ENSCAFP00845013854	phylogeny
ENSCAFP00845013854	macro-synteny
ENSP00000509229	phylogeny
ENSP00000509229	macro-synteny
ENSMUSP00000154512	phylogeny
ENSMUSP00000154512	macro-synteny
ENSLOCP00000006848	phylogeny
ENSLOCP00000006848	macro-synteny
ENSDARP00000127845	phylogeny
ENSDARP00000127845	macro-synteny
ENSORLP00000017834	phylogeny
ENSORLP00000017834	macro-synteny
ENSTNIP00000022588	phylogeny
ENSTNIP00000022588	macro-synteny
ENSGACP00000000342	phylogeny
ENSGACP00000000342	macro-synteny
ENSCMIP00000012535	phylogeny
ENSCMIP00000012535	macro-synteny
ENSGALP00010016564	phylogeny
ENSGALP00010016564	macro-synteny
ENSMGAP00000028827	phylogeny
ENSMGAP00000028827	macro-synteny
ENSMGAP00000007701	phylogeny
ENSMGAP00000007701	macro-synteny
ENSTGUP00000024596	phylogeny
ENSTGUP00000024596	macro-synteny
ENSMODP00000056502	phylogeny
ENSMODP00000056502	macro-synteny
ENSACAP00000005752	phylogeny
ENSACAP00000005752	macro-synteny
ENSCAFP00845023790	phylogeny
ENSCAFP00845023790	macro-synteny
ENSMUSP00000046788	phylogeny
ENSMUSP00000046788	macro-synteny
ENSP00000305699	phylogeny
ENSP00000305699	macro-synteny
ENSMODP00000012604	phylogeny
ENSMODP00000012604	macro-synteny
ENSLOCP00000003859	phylogeny
ENSLOCP00000003859	macro-synteny
ENSORLP00000040660	phylogeny
ENSORLP00000040660	macro-synteny
ENSTNIP00000006090	phylogeny
ENSTNIP00000006090	macro-synteny
ENSGACP00000023316	phylogeny
ENSGACP00000023316	macro-synteny
ENSDARP00000152982	phylogeny
ENSDARP00000152982	macro-synteny
ENSCMIP00000038649	phylogeny
ENSCMIP00000038649	macro-synteny
ENSGALP00010039746	phylogeny
ENSGALP00010039746	macro-synteny
ENSMGAP00000012130	phylogeny
ENSMGAP00000012130	macro-synteny
ENSTGUP00000010021	phylogeny
ENSTGUP00000010021	macro-synteny
ENSACAP00000007070	phylogeny
ENSACAP00000007070	macro-synteny
ENSCAFP00845008387	phylogeny
ENSCAFP00845008387	macro-synteny
ENSP00000360252	phylogeny
ENSP00000360252	macro-synteny
ENSMUSP00000030306	phylogeny
ENSMUSP00000030306	macro-synteny
ENSMODP00000058012	phylogeny
ENSMODP00000058012	macro-synteny
ENSORLP00000037944	phylogeny
ENSORLP00000037944	macro-synteny
ENSTNIP00000013793	phylogeny
ENSTNIP00000013793	macro-synteny
ENSGACP00000019210	phylogeny
ENSGACP00000019210	macro-synteny
ENSDARP00000063051	phylogeny
ENSDARP00000063051	macro-synteny
ENSLOCP00000010916	phylogeny
ENSLOCP00000010916	macro-synteny
ENSCMIP00000047435	phylogeny
ENSCMIP00000047435	macro-synteny
ENSCAFP00845022470	phylogeny
ENSCAFP00845022470	macro-synteny
ENSP00000380785	phylogeny
ENSP00000380785	macro-synteny
ENSMUSP00000067752	phylogeny
ENSMUSP00000067752	macro-synteny
ENSMODP00000008628	phylogeny
ENSMODP00000008628	macro-synteny
ENSACAP00000003380	phylogeny
ENSACAP00000003380	macro-synteny
ENSORLP00000019519	phylogeny
ENSORLP00000019519	macro-synteny
ENSGACP00000008802	phylogeny
ENSGACP00000008802	macro-synteny
ENSLOCP00000009632	phylogeny
ENSLOCP00000009632	macro-synteny
ENSCMIP00000027755	phylogeny
ENSCMIP00000027755	macro-synteny
ENSGALP00010023299	phylogeny
ENSGALP00010023299	macro-synteny
ENSMGAP00000009956	phylogeny
ENSMGAP00000009956	macro-synteny
ENSTGUP00000010912	phylogeny
ENSTGUP00000010912	macro-synteny
ENSACAP00000003925	phylogeny
ENSACAP00000003925	macro-synteny
ENSCAFP00845027124	phylogeny
ENSCAFP00845027124	macro-synteny
ENSP00000350170	phylogeny
ENSP00000350170	macro-synteny
ENSMODP00000026620	phylogeny
ENSMODP00000026620	macro-synteny
ENSMUSP00000001620	phylogeny
ENSMUSP00000001620	macro-synteny
ENSTNIP00000009608	phylogeny
ENSTNIP00000009608	macro-synteny
ENSLOCP00000000652	phylogeny
ENSLOCP00000000652	macro-synteny
ENSDARP00000124192	phylogeny
ENSDARP00000124192	macro-synteny
ENSORLP00000014777	phylogeny
ENSORLP00000014777	macro-synteny
ENSGACP00000008025	phylogeny
ENSGACP00000008025	macro-synteny
ENSTNIP00000006390	phylogeny
ENSTNIP00000006390	macro-synteny
ENSCMIP00000032834	phylogeny
ENSCMIP00000032834	macro-synteny
ENSCAFP00845032957	phylogeny
ENSCAFP00845032957	macro-synteny
ENSP00000250113	phylogeny
ENSP00000250113	macro-synteny
ENSMUSP00000159533	phylogeny
ENSMUSP00000159533	macro-synteny
ENSMODP00000008904	phylogeny
ENSMODP00000008904	macro-synteny
ENSORLP00000014502	phylogeny
ENSORLP00000014502	macro-synteny
ENSGACP00000026406	phylogeny
ENSGACP00000026406	macro-synteny
ENSTNIP00000007786	phylogeny
ENSTNIP00000007786	macro-synteny
ENSDARP00000004667	phylogeny
ENSDARP00000004667	macro-synteny
ENSDARP00000146728	phylogeny
ENSDARP00000146728	macro-synteny
ENSGALP00010022892	phylogeny
ENSGALP00010022892	macro-synteny
ENSMGAP00000020668	phylogeny
ENSMGAP00000020668	macro-synteny
ENSACAP00000039600	phylogeny
ENSACAP00000039600	macro-synteny
ENSTGUP00000037101	phylogeny
ENSTGUP00000037101	macro-synteny
ENSMODP00000050145	phylogeny
ENSMODP00000050145	macro-synteny
ENSCAFP00845028666	phylogeny
ENSCAFP00845028666	macro-synteny
ENSMUSP00000110303	phylogeny
ENSMUSP00000110303	macro-synteny
ENSP00000359506	phylogeny
ENSP00000359506	macro-synteny
ENSLOCP00000018950	phylogeny
ENSLOCP00000018950	macro-synteny
ENSDARP00000104665	phylogeny
ENSDARP00000104665	macro-synteny
ENSORLP00000011409	phylogeny
ENSORLP00000011409	macro-synteny
ENSGACP00000024785	phylogeny
ENSGACP00000024785	macro-synteny
ENSTNIP00000004589	phylogeny
ENSTNIP00000004589	macro-synteny
ENSTNIP00000013019	phylogeny
ENSTNIP00000013019	macro-synteny
ENSCMIP00000029860	phylogeny
ENSCMIP00000029860	macro-synteny
ENSGALP00010026749	phylogeny
ENSGALP00010026749	macro-synteny
ENSMGAP00000010636	phylogeny
ENSMGAP00000010636	macro-synteny
ENSTGUP00000010423	phylogeny
ENSTGUP00000010423	macro-synteny
ENSACAP00000040890	phylogeny
ENSACAP00000040890	macro-synteny
ENSCAFP00845026223	phylogeny
ENSCAFP00845026223	macro-synteny
ENSP00000238961	phylogeny
ENSP00000238961	macro-synteny
ENSMUSP00000093758	phylogeny
ENSMUSP00000093758	macro-synteny
ENSMODP00000015050	phylogeny
ENSMODP00000015050	macro-synteny
ENSCMIP00000000232	phylogeny
ENSCMIP00000000232	macro-synteny
ENSORLP00000039419	phylogeny
ENSORLP00000039419	macro-synteny
ENSTNIP00000011525	phylogeny
ENSTNIP00000011525	macro-synteny
ENSGACP00000010212	phylogeny
ENSGACP00000010212	macro-synteny
ENSDARP00000118459	phylogeny
ENSDARP00000118459	macro-synteny
ENSLOCP00000015570	phylogeny
ENSLOCP00000015570	macro-synteny
ENSCAFP00845031024	phylogeny
ENSCAFP00845031024	macro-synteny
ENSP00000429896	phylogeny
ENSP00000429896	macro-synteny
ENSMUSP00000132846	phylogeny
ENSMUSP00000132846	macro-synteny
ENSMODP00000040124	phylogeny
ENSMODP00000040124	macro-synteny
ENSACAP00000022011	phylogeny
ENSACAP00000022011	macro-synteny
ENSGALP00010029178	phylogeny
ENSGALP00010029178	macro-synteny
ENSMGAP00000018953	phylogeny
ENSMGAP00000018953	macro-synteny
ENSLOCP00000019202	phylogeny
ENSLOCP00000019202	macro-synteny
ENSGALP00010042947	phylogeny
ENSGALP00010042947	macro-synteny
ENSMGAP00000000129	phylogeny
ENSMGAP00000000129	macro-synteny
ENSTGUP00000017685	phylogeny
ENSTGUP00000017685	macro-synteny
ENSCAFP00845026241	phylogeny
ENSCAFP00845026241	macro-synteny
ENSP00000355167	phylogeny
ENSP00000355167	macro-synteny
ENSMUSP00000029754	phylogeny
ENSMUSP00000029754	macro-synteny
ENSMODP00000023456	phylogeny
ENSMODP00000023456	macro-synteny
ENSACAP00000008501	phylogeny
ENSACAP00000008501	macro-synteny
ENSLOCP00000009562	phylogeny
ENSLOCP00000009562	macro-synteny
ENSORLP00000043139	phylogeny
ENSORLP00000043139	macro-synteny
ENSTNIP00000008921	phylogeny
ENSTNIP00000008921	macro-synteny
ENSGACP00000017850	phylogeny
ENSGACP00000017850	macro-synteny
ENSDARP00000058887	phylogeny
ENSDARP00000058887	macro-synteny
ENSGALP00010000248	phylogeny
ENSGALP00010000248	macro-synteny
ENSMGAP00000009886	phylogeny
ENSMGAP00000009886	macro-synteny
ENSTGUP00000024369	phylogeny
ENSTGUP00000024369	macro-synteny
ENSCAFP00845043182	phylogeny
ENSCAFP00845043182	macro-synteny
ENSP00000336984	phylogeny
ENSP00000336984	macro-synteny
ENSMUSP00000105574	phylogeny
ENSMUSP00000105574	macro-synteny
ENSMODP00000047485	phylogeny
ENSMODP00000047485	macro-synteny
ENSCMIP00000022936	phylogeny
ENSCMIP00000022936	macro-synteny
ENSORLP00000013190	phylogeny
ENSORLP00000013190	macro-synteny
ENSGACP00000021345	phylogeny
ENSGACP00000021345	macro-synteny
ENSTNIP00000009748	phylogeny
ENSTNIP00000009748	macro-synteny
ENSDARP00000053866	phylogeny
ENSDARP00000053866	macro-synteny
ENSLOCP00000007284	phylogeny
ENSLOCP00000007284	macro-synteny
ENSGALP00010005146	phylogeny
ENSGALP00010005146	macro-synteny
ENSMGAP00000029648	phylogeny
ENSMGAP00000029648	macro-synteny
ENSTGUP00000034850	phylogeny
ENSTGUP00000034850	macro-synteny
ENSACAP00000014714	phylogeny
ENSACAP00000014714	macro-synteny
ENSCAFP00845036372	phylogeny
ENSCAFP00845036372	macro-synteny
ENSP00000262213	phylogeny
ENSP00000262213	macro-synteny
ENSCAFP00845040895	phylogeny
ENSCAFP00845040895	macro-synteny
ENSP00000309402	phylogeny
ENSP00000309402	macro-synteny
ENSMUSP00000062635	phylogeny
ENSMUSP00000062635	macro-synteny
ENSMODP00000046062	phylogeny
ENSMODP00000046062	macro-synteny
ENSMUSP00000027068	phylogeny
ENSMUSP00000027068	macro-synteny
ENSMODP00000009077	phylogeny
ENSMODP00000009077	macro-synteny
ENSORLP00000010141	phylogeny
ENSORLP00000010141	macro-synteny
ENSTNIP00000011018	phylogeny
ENSTNIP00000011018	macro-synteny
ENSGACP00000003691	phylogeny
ENSGACP00000003691	macro-synteny
ENSDARP00000022511	phylogeny
ENSDARP00000022511	macro-synteny
ENSDARP00000155896	phylogeny
ENSDARP00000155896	macro-synteny
ENSLOCP00000004856	phylogeny
ENSLOCP00000004856	macro-synteny
ENSCMIP00000003183	phylogeny
ENSCMIP00000003183	macro-synteny
ENSCMIP00000037411	phylogeny
ENSCMIP00000037411	macro-synteny
ENSORLP00000015117	phylogeny
ENSORLP00000015117	macro-synteny
ENSTNIP00000015573	phylogeny
ENSTNIP00000015573	macro-synteny
ENSGACP00000020069	phylogeny
ENSGACP00000020069	macro-synteny
ENSDARP00000026457	phylogeny
ENSDARP00000026457	macro-synteny
ENSLOCP00000004740	phylogeny
ENSLOCP00000004740	macro-synteny
ENSACAP00000041352	phylogeny
ENSACAP00000041352	macro-synteny
ENSCAFP00845012833	phylogeny
ENSCAFP00845012833	macro-synteny
ENSMUSP00000047992	phylogeny
ENSMUSP00000047992	macro-synteny
ENSP00000182527	phylogeny
ENSP00000182527	macro-synteny
ENSMODP00000023469	phylogeny
ENSMODP00000023469	macro-synteny
ENSACAP00000004984	phylogeny
ENSACAP00000004984	macro-synteny
ENSTGUP00000013674	phylogeny
ENSTGUP00000013674	macro-synteny
ENSMGAP00000028396	phylogeny
ENSMGAP00000028396	macro-synteny
ENSORLP00000016255	phylogeny
ENSORLP00000016255	macro-synteny
ENSGACP00000012315	phylogeny
ENSGACP00000012315	macro-synteny
ENSTNIP00000015266	phylogeny
ENSTNIP00000015266	macro-synteny
ENSDARP00000043937	phylogeny
ENSDARP00000043937	macro-synteny
ENSLOCP00000000971	phylogeny
ENSLOCP00000000971	macro-synteny
ENSGALP00010027165	phylogeny
ENSGALP00010027165	macro-synteny
ENSTGUP00000006219	phylogeny
ENSTGUP00000006219	macro-synteny
ENSMGAP00000025649	phylogeny
ENSMGAP00000025649	macro-synteny
ENSMODP00000007807	phylogeny
ENSMODP00000007807	macro-synteny
ENSLOCP00000020772	phylogeny
ENSLOCP00000020772	macro-synteny
ENSDARP00000131304	phylogeny
ENSDARP00000131304	macro-synteny
ENSORLP00000003803	phylogeny
ENSORLP00000003803	macro-synteny
ENSCMIP00000044604	phylogeny
ENSCMIP00000044604	macro-synteny
ENSCAFP00845039295	phylogeny
ENSCAFP00845039295	macro-synteny
ENSMUSP00000105560	phylogeny
ENSMUSP00000105560	macro-synteny
ENSP00000366058	phylogeny
ENSP00000366058	macro-synteny
ENSACAP00000001419	phylogeny
ENSACAP00000001419	macro-synteny
ENSGALP00010008862	phylogeny
ENSGALP00010008862	macro-synteny
ENSMGAP00000013350	phylogeny
ENSMGAP00000013350	macro-synteny
ENSTGUP00000031327	phylogeny
ENSTGUP00000031327	macro-synteny
ENSACAP00000016191	phylogeny
ENSACAP00000016191	macro-synteny
ENSMODP00000032577	phylogeny
ENSMODP00000032577	macro-synteny
ENSCAFP00845020083	phylogeny
ENSCAFP00845020083	macro-synteny
ENSCAFP00845034676	phylogeny
ENSCAFP00845034676	macro-synteny
ENSP00000331474	phylogeny
ENSP00000331474	macro-synteny
ENSMUSP00000093206	phylogeny
ENSMUSP00000093206	macro-synteny
ENSLOCP00000013318	phylogeny
ENSLOCP00000013318	macro-synteny
ENSCMIP00000025610	phylogeny
ENSCMIP00000025610	macro-synteny
ENSDARP00000127179	phylogeny
ENSDARP00000127179	macro-synteny
ENSDARP00000144868	phylogeny
ENSDARP00000144868	macro-synteny
ENSGACP00000017080	phylogeny
ENSGACP00000017080	macro-synteny
ENSORLP00000020886	phylogeny
ENSORLP00000020886	macro-synteny
ENSGACP00000007775	phylogeny
ENSGACP00000007775	macro-synteny
ENSTNIP00000020570	phylogeny
ENSTNIP00000020570	macro-synteny
ENSACAP00000003681	phylogeny
ENSACAP00000003681	macro-synteny
ENSP00000375859	phylogeny
ENSP00000375859	macro-synteny
ENSMUSP00000078407	phylogeny
ENSMUSP00000078407	macro-synteny
ENSORLP00000001200	phylogeny
ENSORLP00000001200	macro-synteny
ENSGACP00000017165	phylogeny
ENSGACP00000017165	macro-synteny
ENSDARP00000114077	phylogeny
ENSDARP00000114077	macro-synteny
ENSLOCP00000017516	phylogeny
ENSLOCP00000017516	macro-synteny
ENSGALP00010011898	phylogeny
ENSGALP00010011898	macro-synteny
ENSTGUP00000003165	phylogeny
ENSTGUP00000003165	macro-synteny
ENSACAP00000019026	phylogeny
ENSACAP00000019026	macro-synteny
ENSCAFP00845007383	phylogeny
ENSCAFP00845007383	macro-synteny
ENSP00000349592	phylogeny
ENSP00000349592	macro-synteny
ENSMUSP00000022040	phylogeny
ENSMUSP00000022040	macro-synteny
ENSMODP00000010196	phylogeny
ENSMODP00000010196	macro-synteny
ENSORLP00000006702	phylogeny
ENSORLP00000006702	macro-synteny
ENSGACP00000010138	phylogeny
ENSGACP00000010138	macro-synteny
ENSTNIP00000000060	phylogeny
ENSTNIP00000000060	macro-synteny
ENSDARP00000131912	phylogeny
ENSDARP00000131912	macro-synteny
ENSLOCP00000002749	phylogeny
ENSLOCP00000002749	macro-synteny
ENSCMIP00000008496	phylogeny
ENSCMIP00000008496	macro-synteny
ENSGALP00010029051	phylogeny
ENSGALP00010029051	macro-synteny
ENSMGAP00000026737	phylogeny
ENSMGAP00000026737	macro-synteny
ENSTGUP00000008651	phylogeny
ENSTGUP00000008651	macro-synteny
ENSCAFP00845004723	phylogeny
ENSCAFP00845004723	macro-synteny
ENSP00000490608	phylogeny
ENSP00000490608	macro-synteny
ENSMUSP00000119721	phylogeny
ENSMUSP00000119721	macro-synteny
ENSMODP00000024458	phylogeny
ENSMODP00000024458	macro-synteny
ENSLOCP00000017868	phylogeny
ENSLOCP00000017868	macro-synteny
ENSDARP00000135812	phylogeny
ENSDARP00000135812	macro-synteny
ENSGACP00000002636	phylogeny
ENSGACP00000002636	macro-synteny
ENSCMIP00000025676	phylogeny
ENSCMIP00000025676	macro-synteny
ENSGALP00010029415	phylogeny
ENSGALP00010029415	macro-synteny
ENSMGAP00000007706	phylogeny
ENSMGAP00000007706	macro-synteny
ENSTGUP00000007986	phylogeny
ENSTGUP00000007986	macro-synteny
ENSLOCP00000013950	phylogeny
ENSLOCP00000013950	macro-synteny
ENSCMIP00000001539	phylogeny
ENSCMIP00000001539	macro-synteny
ENSCAFP00845022851	phylogeny
ENSCAFP00845022851	macro-synteny
ENSMUSP00000031822	phylogeny
ENSMUSP00000031822	macro-synteny
ENSMUSP00000031239	phylogeny
ENSMUSP00000031239	macro-synteny
ENSP00000237612	phylogeny
ENSP00000237612	macro-synteny
ENSMODP00000025920	phylogeny
ENSMODP00000025920	macro-synteny
ENSTGUP00000002279	phylogeny
ENSTGUP00000002279	macro-synteny
ENSACAP00000012647	phylogeny
ENSACAP00000012647	macro-synteny
ENSCMIP00000038993	phylogeny
ENSCMIP00000038993	macro-synteny
ENSORLP00000008769	phylogeny
ENSORLP00000008769	macro-synteny
ENSTNIP00000013982	phylogeny
ENSTNIP00000013982	macro-synteny
ENSGACP00000022891	phylogeny
ENSGACP00000022891	macro-synteny
ENSDARP00000024285	phylogeny
ENSDARP00000024285	macro-synteny
ENSORLP00000003411	phylogeny
ENSORLP00000003411	macro-synteny
ENSGACP00000024574	phylogeny
ENSGACP00000024574	macro-synteny
ENSTNIP00000010621	phylogeny
ENSTNIP00000010621	macro-synteny
ENSDARP00000140421	phylogeny
ENSDARP00000140421	macro-synteny
ENSLOCP00000016575	phylogeny
ENSLOCP00000016575	macro-synteny
ENSGALP00010037363	phylogeny
ENSGALP00010037363	macro-synteny
ENSCAFP00845027570	phylogeny
ENSCAFP00845027570	macro-synteny
ENSMUSP00000072175	phylogeny
ENSMUSP00000072175	macro-synteny
ENSP00000354111	phylogeny
ENSP00000354111	macro-synteny
ENSMODP00000043090	phylogeny
ENSMODP00000043090	macro-synteny
ENSACAP00000006696	phylogeny
ENSACAP00000006696	macro-synteny
ENSMGAP00000006821	phylogeny
ENSMGAP00000006821	macro-synteny
ENSTGUP00000038648	phylogeny
ENSTGUP00000038648	macro-synteny
ENSCMIP00000027875	phylogeny
ENSCMIP00000027875	macro-synteny
ENSORLP00000044372	phylogeny
ENSORLP00000044372	macro-synteny
ENSGACP00000015856	phylogeny
ENSGACP00000015856	macro-synteny
ENSTNIP00000015457	phylogeny
ENSTNIP00000015457	macro-synteny
ENSDARP00000063056	phylogeny
ENSDARP00000063056	macro-synteny
ENSDARP00000152219	phylogeny
ENSDARP00000152219	macro-synteny
ENSORLP00000039899	phylogeny
ENSORLP00000039899	macro-synteny
ENSGACP00000013696	phylogeny
ENSGACP00000013696	macro-synteny
ENSLOCP00000005972	phylogeny
ENSLOCP00000005972	macro-synteny
ENSGALP00010005545	phylogeny
ENSGALP00010005545	macro-synteny
ENSMGAP00000011699	phylogeny
ENSMGAP00000011699	macro-synteny
ENSTGUP00000029846	phylogeny
ENSTGUP00000029846	macro-synteny
ENSACAP00000016435	phylogeny
ENSACAP00000016435	macro-synteny
ENSCAFP00845025584	phylogeny
ENSCAFP00845025584	macro-synteny
ENSP00000276570	phylogeny
ENSP00000276570	macro-synteny
ENSMUSP00000113414	phylogeny
ENSMUSP00000113414	macro-synteny
ENSMODP00000052897	phylogeny
ENSMODP00000052897	macro-synteny
ENSCMIP00000000432	phylogeny
ENSCMIP00000000432	macro-synteny
ENSLOCP00000000243	phylogeny
ENSLOCP00000000243	macro-synteny
ENSDARP00000075407	phylogeny
ENSDARP00000075407	macro-synteny
ENSORLP00000039446	phylogeny
ENSORLP00000039446	macro-synteny
ENSGACP00000001990	phylogeny
ENSGACP00000001990	macro-synteny
ENSTNIP00000007571	phylogeny
ENSTNIP00000007571	macro-synteny
ENSGALP00010012739	phylogeny
ENSGALP00010012739	macro-synteny
ENSACAP00000040775	phylogeny
ENSACAP00000040775	macro-synteny
ENSORLP00000010868	phylogeny
ENSORLP00000010868	macro-synteny
ENSTNIP00000008117	phylogeny
ENSTNIP00000008117	macro-synteny
ENSGACP00000008060	phylogeny
ENSGACP00000008060	macro-synteny
ENSDARP00000016772	phylogeny
ENSDARP00000016772	macro-synteny
ENSDARP00000150822	phylogeny
ENSDARP00000150822	macro-synteny
ENSGACP00000015477	phylogeny
ENSGACP00000015477	macro-synteny
ENSTNIP00000001100	phylogeny
ENSTNIP00000001100	macro-synteny
ENSLOCP00000019539	phylogeny
ENSLOCP00000019539	macro-synteny
ENSDARP00000116467	phylogeny
ENSDARP00000116467	macro-synteny
ENSCAFP00845009524	phylogeny
ENSCAFP00845009524	macro-synteny
ENSP00000296097	phylogeny
ENSP00000296097	macro-synteny
ENSMUSP00000064587	phylogeny
ENSMUSP00000064587	macro-synteny
ENSGALP00010000176	phylogeny
ENSGALP00010000176	macro-synteny
ENSACAP00000031050	phylogeny
ENSACAP00000031050	macro-synteny
ENSCAFP00845034337	phylogeny
ENSCAFP00845034337	macro-synteny
ENSMUSP00000113465	phylogeny
ENSMUSP00000113465	macro-synteny
ENSMODP00000012241	phylogeny
ENSMODP00000012241	macro-synteny
ENSP00000436901	phylogeny
ENSP00000436901	macro-synteny
ENSLOCP00000003111	phylogeny
ENSLOCP00000003111	macro-synteny
ENSORLP00000009262	phylogeny
ENSORLP00000009262	macro-synteny
ENSTNIP00000012953	phylogeny
ENSTNIP00000012953	macro-synteny
ENSGACP00000026973	phylogeny
ENSGACP00000026973	macro-synteny
ENSDARP00000003264	phylogeny
ENSDARP00000003264	macro-synteny
ENSORLP00000043505	phylogeny
ENSORLP00000043505	macro-synteny
ENSGACP00000023303	phylogeny
ENSGACP00000023303	macro-synteny
ENSTNIP00000019903	phylogeny
ENSTNIP00000019903	macro-synteny
ENSDARP00000054242	phylogeny
ENSDARP00000054242	macro-synteny
ENSDARP00000141965	phylogeny
ENSDARP00000141965	macro-synteny
ENSCAFP00845008631	phylogeny
ENSCAFP00845008631	macro-synteny
ENSP00000347716	phylogeny
ENSP00000347716	macro-synteny
ENSMUSP00000103866	phylogeny
ENSMUSP00000103866	macro-synteny
ENSACAP00000013154	phylogeny
ENSACAP00000013154	macro-synteny
ENSLOCP00000017714	phylogeny
ENSLOCP00000017714	macro-synteny
ENSORLP00000043190	phylogeny
ENSORLP00000043190	macro-synteny
ENSTNIP00000017358	phylogeny
ENSTNIP00000017358	macro-synteny
ENSGACP00000007778	phylogeny
ENSGACP00000007778	macro-synteny
ENSDARP00000138238	phylogeny
ENSDARP00000138238	macro-synteny
ENSDARP00000146430	phylogeny
ENSDARP00000146430	macro-synteny
ENSCMIP00000044583	phylogeny
ENSCMIP00000044583	macro-synteny
ENSGALP00010030647	phylogeny
ENSGALP00010030647	macro-synteny
ENSMGAP00000018716	phylogeny
ENSMGAP00000018716	macro-synteny
ENSTGUP00000011639	phylogeny
ENSTGUP00000011639	macro-synteny
ENSACAP00000016124	phylogeny
ENSACAP00000016124	macro-synteny
ENSCAFP00845016113	phylogeny
ENSCAFP00845016113	macro-synteny
ENSP00000450518	phylogeny
ENSP00000450518	macro-synteny
ENSMUSP00000136280	phylogeny
ENSMUSP00000136280	macro-synteny
